codpanelista2,wave,sex,age,education,hhincome,livingpartner,lrself,voteintentionspain,polintr,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,authoa,authob,authoc,authod,populisma,populismb,populismc,populismd,populisme,populismf,immigeco,immicult,femstrike,femdemonstrate,feminfo,femtalk,constpref,vote2016
3881,2019,2,28,4,5,0,5,54,4,4,4,4,4,4,4,4,4,4,2,2,2,1,4,4,4,4,4,4,5,5,2,2,2,2,3,NA
3882,2018,2,39,3,99,1,5,54,3,4,5,5,4,3,5,4,4,5,2,2,1,2,4,4,4,4,4,4,7,0,1,1,2,2,3,NA
3883,2018,2,21,6,2,0,2,54,4,1,7,1,1,1,7,7,5,1,2,1,2,2,4,4,4,1,4,7,10,0,2,2,1,1,5,56
3883,2019,2,23,6,2,0,1,11,3,1,5,1,1,1,7,7,7,1,2,1,2,1,7,2,2,1,4,5,10,1,1,1,1,1,4,NA
3884,2018,1,39,3,8,1,3,5,3,2,5,2,3,2,6,6,4,2,2,2,2,1,6,5,2,5,5,6,3,3,2,2,2,1,2,3
3884,2019,1,40,3,8,1,3,3,3,5,6,2,2,2,5,6,5,6,2,2,2,1,5,7,6,2,4,7,6,0,2,2,1,1,3,NA
3884,2020,1,41,3,7,1,4,55,2,2,6,2,2,3,5,5,2,2,2,2,2,1,5,6,6,2,3,6,7,6,2,2,2,1,2,NA
3885,2018,1,51,3,5,1,5,1,2,2,7,2,3,7,7,6,6,1,2,2,2,2,7,5,6,7,7,7,0,0,2,2,2,1,2,3
3885,2019,1,52,3,5,1,5,54,3,1,7,7,1,1,6,6,5,1,2,2,2,1,7,7,7,7,7,7,5,10,2,2,2,1,5,NA
3885,2020,1,53,3,4,1,5,53,3,1,6,4,1,1,4,5,6,4,2,2,2,2,7,7,7,7,7,7,0,7,2,2,2,2,4,NA
3886,2018,2,40,3,2,0,3,51,3,3,5,4,1,3,5,5,3,3,2,2,2,1,3,5,4,4,6,5,2,5,2,2,1,1,4,51
3887,2018,2,50,3,7,1,5,5,3,3,4,3,4,5,4,4,5,3,2,2,2,1,7,7,7,7,7,7,2,5,2,2,2,2,4,NA
3887,2019,2,51,3,7,0,5,5,3,5,4,3,3,4,3,4,5,2,2,2,2,1,5,3,3,3,4,4,8,5,2,2,2,2,3,NA
3887,2020,2,52,3,7,1,5,53,3,3,3,3,3,3,3,2,3,4,1,1,2,1,6,3,3,5,6,3,4,3,2,2,2,2,3,NA
3888,2018,1,45,3,10,1,5,1,3,1,1,4,1,3,7,6,5,6,2,2,2,1,6,4,5,4,4,4,4,4,2,2,2,1,1,1
3889,2018,1,20,6,99,0,4,54,3,1,6,1,1,3,7,7,1,1,2,1,2,1,7,3,5,3,5,6,6,0,2,1,1,1,3,56
3890,2018,1,23,8,3,0,5,51,3,2,7,1,1,3,4,7,5,1,2,2,2,1,6,4,6,4,6,7,7,3,2,2,2,1,2,51
3890,2019,1,24,8,99,1,5,50,2,4,5,3,4,3,5,5,4,4,1,2,2,1,5,4,4,4,6,5,5,5,2,2,2,1,2,NA
3891,2018,1,36,3,7,1,3,1,4,2,2,2,3,2,2,5,1,1,2,2,2,1,5,4,5,1,1,1,10,10,2,2,2,2,2,1
3891,2019,1,37,3,99,1,2,1,4,4,3,4,1,3,1,1,1,1,2,2,2,1,1,3,5,4,3,1,1,0,2,2,2,2,4,NA
3892,2018,1,23,10,99,0,8,2,3,4,4,4,4,4,4,4,4,4,2,2,1,2,4,4,4,4,4,4,5,5,2,2,2,2,3,2
3892,2019,1,24,10,99,0,9,2,2,7,1,7,7,7,1,1,4,7,2,2,1,2,3,4,5,6,3,7,5,7,2,2,2,2,2,NA
3892,2020,1,25,10,7,0,8,2,3,7,1,6,6,7,1,1,7,7,2,2,1,2,4,4,4,7,4,7,3,3,2,2,2,2,2,NA
3893,2018,1,37,4,2,1,0,50,4,3,4,1,1,2,7,7,1,3,1,1,2,1,7,3,7,7,7,7,10,2,1,2,1,1,5,NA
3893,2019,1,39,7,4,1,0,50,2,3,4,7,1,3,7,7,4,4,1,1,2,1,7,3,4,7,7,7,10,0,1,2,1,1,5,NA
3893,2020,1,40,4,2,1,0,5,1,1,5,1,1,1,5,5,1,1,1,1,2,1,7,1,6,5,7,4,8,0,1,2,2,1,5,NA
3894,2018,2,25,10,8,1,2,3,2,1,6,1,1,3,7,7,1,1,2,1,2,1,6,4,5,5,6,7,7,8,1,1,1,1,4,3
3895,2018,2,32,1,99,1,10,54,3,4,4,4,4,4,4,4,4,4,2,2,2,2,7,4,4,4,4,7,10,10,1,2,2,2,1,56
3895,2019,2,33,3,99,1,5,54,3,1,7,7,1,1,7,7,5,7,2,2,2,2,4,4,4,4,4,7,0,10,2,2,2,2,2,NA
3895,2020,2,34,1,1,0,5,55,4,4,4,4,4,4,4,4,4,4,2,2,1,1,7,5,6,7,6,7,0,0,2,2,2,2,3,NA
3896,2018,2,22,6,4,0,5,1,3,5,4,5,4,4,4,5,4,4,2,2,1,2,7,5,1,5,6,7,5,5,2,2,2,1,3,1
3896,2019,2,23,6,5,0,5,1,2,1,7,4,1,2,6,7,5,1,2,2,2,2,7,6,6,7,7,7,7,7,1,1,1,1,3,NA
3896,2020,2,24,6,5,0,5,1,2,7,4,5,7,7,7,7,7,7,2,2,2,2,6,6,7,5,7,6,5,5,2,2,1,1,1,NA
3897,2018,1,37,1,8,1,0,50,3,1,7,1,1,1,7,6,1,1,2,2,2,2,7,7,7,7,7,7,0,0,2,2,2,2,3,NA
3898,2018,2,45,10,7,1,1,51,2,1,1,1,1,1,7,7,1,1,1,1,2,1,6,3,5,5,6,7,5,4,2,1,1,1,5,50
3898,2019,2,46,10,99,1,2,50,2,1,6,1,2,2,3,6,4,1,2,2,2,1,6,2,4,4,5,7,5,5,1,1,1,1,5,NA
3899,2018,1,23,1,99,0,10,2,1,7,7,7,7,7,7,7,7,7,2,2,1,2,7,7,7,7,7,7,10,10,1,1,1,1,4,2
3900,2018,1,42,10,99,1,5,4,2,2,1,4,1,2,4,5,5,2,2,2,2,2,6,3,6,6,7,5,8,6,1,1,1,1,3,1
3900,2019,1,43,10,99,1,5,1,3,3,6,4,2,2,4,6,2,3,2,2,1,2,7,2,5,6,5,5,8,6,2,2,2,2,3,NA
3901,2018,1,31,8,9,1,3,1,1,3,3,2,5,3,4,3,5,3,2,1,2,1,6,5,5,4,3,6,5,2,2,2,2,2,2,1
3901,2020,1,33,8,9,1,3,1,2,3,5,4,3,4,4,3,2,3,2,1,1,2,5,6,5,3,3,5,7,2,2,2,2,1,3,NA
3902,2018,2,23,8,99,0,5,1,3,2,5,7,3,3,7,6,5,2,2,2,2,1,5,2,2,1,6,7,5,3,1,1,1,1,3,1
3902,2019,2,24,9,99,0,6,1,3,2,3,3,3,3,5,5,4,2,2,2,2,1,4,3,4,3,5,5,5,3,1,1,2,1,4,NA
3902,2020,2,25,9,5,0,3,55,3,2,5,3,2,2,6,6,6,2,2,2,2,2,4,4,4,1,5,6,6,3,2,2,2,2,4,NA
